"STATION","STATION_NAME","DATE","PRCP","TMAX","TMIN"
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-02,348,217,139
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-03,0,244,39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-04,13,278,128
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-05,0,278,189
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-06,0,228,133
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-07,0,217,128
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-08,155,228,100
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-09,521,300,178
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-10,41,267,172
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-11,0,189,117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-12,0,233,56
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-13,0,200,72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-14,0,222,122
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-15,51,156,72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-16,0,117,17
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-17,0,156,-44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-18,0,117,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-19,0,172,72
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-20,0,172,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-21,0,206,0
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-22,38,200,100
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-23,0,228,94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-24,38,256,167
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-25,0,156,56
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-26,0,128,0
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-27,0,122,-61
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-28,0,172,17
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-29,0,233,0
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-09-30,0,178,33
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-10-01,0,261,94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-10-02,0,233,128
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-10-03,0,267,122
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-10-04,0,267,117
